Date,Index_name,Close,Volume,Daily_Return_,Volatility
2020-03-11,NIFTY BANK,26487.49,723300,0.82,2.12
2020-03-12,NIFTY BANK,23970.87,760600,-4.79,6.7
2020-03-13,NIFTY BANK,25166.16,783400,10.76,19.01
2020-03-16,NIFTY BANK,23100.88,481900,-3.99,4.43
2020-03-17,NIFTY BANK,22154.89,537700,-5.11,6.2
2020-03-18,NIFTY BANK,20579.96,875300,-8.17,10.16
2020-03-19,NIFTY BANK,20083.27,476600,3.37,12.14
2020-03-20,NIFTY BANK,20317.36,501800,2.11,8.34
2020-03-23,NIFTY BANK,16917.45,307600,-7.61,11.49
2020-03-24,NIFTY BANK,17107.1,391700,-3.38,9.74
2020-03-25,NIFTY BANK,18480.84,394600,10.27,12.56
2020-03-26,NIFTY BANK,19613.67,482900,4.43,10.89
2020-03-27,NIFTY BANK,19968.77,539400,-4.00,9.05
2020-03-30,NIFTY BANK,18782.18,327000,-2.45,5.44
2020-03-31,NIFTY BANK,19143.78,309800,-0.85,3.49
2020-04-01,NIFTY BANK,18208.14,274900,-4.78,5.82
2020-04-03,NIFTY BANK,17249.1,342500,-5.87,6.46
2020-04-07,NIFTY BANK,19062.28,435400,3.29,6.7
2020-04-08,NIFTY BANK,18946.23,508400,0.78,9.79
2020-04-09,NIFTY BANK,19913.37,390000,1.84,4.2
2020-04-13,NIFTY BANK,19487.77,288200,-1.85,2.99
2020-04-15,NIFTY BANK,19056.83,389900,-5.17,7.0
2020-04-16,NIFTY BANK,19399.78,350300,2.34,4.31
2020-04-17,NIFTY BANK,20681.21,475000,1.41,5.58
2020-04-20,NIFTY BANK,20522.41,438600,-2.76,3.21
2020-04-21,NIFTY BANK,19409.12,311900,-2.03,3.25
2020-04-22,NIFTY BANK,19701.62,349400,2.05,3.91
2020-04-23,NIFTY BANK,20267.71,325400,2.00,3.89
2020-04-24,NIFTY BANK,19586.42,305700,-0.56,2.21
2020-04-27,NIFTY BANK,20080.92,299900,1.06,1.9
2020-04-28,NIFTY BANK,20670.86,367800,1.15,2.4
2020-04-29,NIFTY BANK,21089.95,400600,3.18,4.67
2020-04-30,NIFTY BANK,21534.25,471500,-0.25,2.84
2020-05-04,NIFTY BANK,19743.52,328800,-3.76,4.32
